Timestamp;QPU_Name;Estado;Tareas_Normales_Cola;Trabajos_Hibridos_Cola
2026-05-04 02:47:52;Garnet;ONLINE;1;0
2026-05-04 02:47:52;Forte 1;ONLINE;0;0
2026-05-04 03:47:57;Cepheus-1-108Q;ONLINE;0;0
2026-05-04 03:47:57;Garnet;ONLINE;0;0
2026-05-04 03:47:57;Forte 1;ONLINE;0;0
2026-05-04 04:48:03;Cepheus-1-108Q;ONLINE;0;0
2026-05-04 04:48:03;Garnet;ONLINE;0;0
2026-05-04 04:48:03;Forte 1;ONLINE;0;0 (1 prioritized hybrid job running)
2026-05-04 05:48:08;Cepheus-1-108Q;ONLINE;0;0
2026-05-04 05:48:08;Garnet;ONLINE;0;0
2026-05-04 05:48:08;Forte 1;ONLINE;1;0 (1 prioritized hybrid job running)
2026-05-04 06:48:14;Cepheus-1-108Q;ONLINE;0;0
2026-05-04 06:48:14;Garnet;ONLINE;0;0
2026-05-04 06:48:14;Forte 1;ONLINE;1;0 (1 prioritized hybrid job running)
2026-05-04 07:48:19;Cepheus-1-108Q;ONLINE;1;0
2026-05-04 07:48:19;Garnet;ONLINE;0;0
2026-05-04 07:48:19;Forte 1;ONLINE;0;0
2026-05-04 08:48:24;Cepheus-1-108Q;ONLINE;1;0
2026-05-04 08:48:24;Garnet;ONLINE;0;0
2026-05-04 08:48:24;Forte 1;ONLINE;0;0
2026-05-04 09:48:30;Cepheus-1-108Q;ONLINE;0;0
2026-05-04 09:48:30;Garnet;ONLINE;1;0
2026-05-04 09:48:30;Forte 1;ONLINE;0;0
2026-05-04 10:48:35;Cepheus-1-108Q;ONLINE;0;0
2026-05-04 10:48:35;Garnet;ONLINE;1;0
2026-05-04 10:48:35;Forte 1;ONLINE;0;0
2026-05-04 11:48:41;Cepheus-1-108Q;ONLINE;0;0
2026-05-04 11:48:41;Garnet;ONLINE;1;0
2026-05-04 11:48:41;Forte 1;ONLINE;0;0
2026-05-04 12:48:46;Cepheus-1-108Q;ONLINE;0;0
2026-05-04 12:48:46;Garnet;ONLINE;0;0
2026-05-04 12:48:46;Forte 1;ONLINE;0;0
2026-05-04 13:48:52;Cepheus-1-108Q;ONLINE;0;0
2026-05-04 13:48:52;Garnet;ONLINE;0;0
2026-05-04 13:48:52;Forte 1;ONLINE;0;0
2026-05-04 14:48:57;Cepheus-1-108Q;ONLINE;0;0
2026-05-04 14:48:57;Garnet;ONLINE;0;0
2026-05-04 14:48:57;Forte 1;ONLINE;0;0 (1 prioritized hybrid job running)
2026-05-04 15:49:03;Cepheus-1-108Q;ONLINE;0;0
2026-05-04 15:49:03;Garnet;ONLINE;6;0
2026-05-04 15:49:03;Forte 1;ONLINE;0;0
2026-05-04 16:49:08;Cepheus-1-108Q;ONLINE;0;0
2026-05-04 16:49:08;Garnet;ONLINE;6;0
2026-05-04 16:49:08;Forte 1;ONLINE;0;0
2026-05-04 17:49:14;Cepheus-1-108Q;ONLINE;0;0
2026-05-04 17:49:14;Garnet;ONLINE;0;0
2026-05-04 17:49:14;Forte 1;ONLINE;0;0
2026-05-04 18:49:19;Cepheus-1-108Q;ONLINE;0;0
2026-05-04 18:49:19;Garnet;ONLINE;0;0
2026-05-04 18:49:19;Forte 1;ONLINE;0;0
2026-05-04 19:49:24;Cepheus-1-108Q;ONLINE;0;0
2026-05-04 19:49:24;Garnet;ONLINE;0;0
2026-05-04 19:49:24;Forte 1;ONLINE;0;0 (1 prioritized hybrid job running)
2026-05-04 20:49:30;Cepheus-1-108Q;ONLINE;0;0
2026-05-04 20:49:30;Garnet;ONLINE;0;0
2026-05-04 20:49:30;Forte 1;ONLINE;0;0 (1 prioritized hybrid job running)
2026-05-04 21:49:35;Cepheus-1-108Q;ONLINE;1;0
2026-05-04 21:49:35;Garnet;ONLINE;0;0
2026-05-04 21:49:35;Forte 1;ONLINE;0;0
2026-05-04 22:49:40;Cepheus-1-108Q;ONLINE;0;0
2026-05-04 22:49:40;Garnet;ONLINE;0;0
2026-05-04 22:49:40;Forte 1;ONLINE;0;0 (1 prioritized hybrid job running)
2026-05-04 23:49:46;Cepheus-1-108Q;ONLINE;0;0
2026-05-04 23:49:46;Garnet;ONLINE;0;0
2026-05-04 23:49:46;Forte 1;ONLINE;1;1
